ball,score,commentary,second_commentary
5.5,6,"cummins to suryakumar ,  six runs six runs this is even better from surya  short and outside-off , surya reads the length so very quickly and swats it over backward-square-leg in grand style","cummins to suryakumar yadav , six , wow , wow  135kph , and suryakumar  read cummins  mind here , knowing he'd go a bit short , to walk inside the line premeditatedly , and swat it uppishly over fine-leg"
5.4,•,"cummins to suryakumar , no run no run cummins drags his length back and aims for the top of off , surya pats it to mid-off","cummins to suryakumar yadav , no run , 137 3kph , length , on off , but the ball sticks a bit in the pitch as surya checks his push to cover"
5.3,4,"cummins to suryakumar , four runs four runs regal shot from surya  slightly overpitched and outside-off , punchily driven between mid-off and covers with a high elbow see all photos","cummins to suryakumar yadav , four , 137 7kph , slight width , fractionally overcooked , and yadav walks right beside the line to flow with a full-faced stunning cover-drive"
5.2,•,"cummins to suryakumar , no run no run on a length and largely holds its line outside-off , surya gets forward and drives to mid-off","cummins to suryakumar yadav , no run , on a length , just outside-off , punched off the inside-half to mid-off"
5.1,1,"cummins to rahul ,  1 run 1 run full at the stumps , push-driven to mid-on for an urgent single","cummins to rahul , 1 run , pretty full , flicked off the toe-end , wide of mid-on"
4.6,•,"ellis to suryakumar , no run no run surya stands tall to this short ball on a fourth-stump line and punches it back to him  good start from ellis","nathan ellis to suryakumar yadav , no run , 134 5kph , good , tummy-lined  yadav gets behind it and punches it off a straight bat , back to the bowler"
4.5,W,"ellis to kohli , out out ellis takes out kohli in his first over  on the fuller side of a good length and angling into off stump , kohli aims to shovel it over mid-on with his bottom hand but does not get enough elevation  straightforward catch for cam green in the infield see all photos","nathan ellis to kohli , out caught by green   he  been cut short  a seven ball stay , and a pretty scratchy one at that , with the aussies really bowling well here to keep kohli quiet  and so , he looks to whip this full delivery uppishly , but alas , it  too full , and he just doesn't get under the length , ending up skewing it tamely to mid-on  the 2016 madness isn't happening tonight    kohli c green b nathan ellis 2 7 "
4.4,1,"ellis to rahul ,  1 run 1 run pretty full leg-stump , whisked away straight of mid-on for a single","nathan ellis to rahul , 1 run , 136 3kph , good length , on middle , nudged softly back down the ground"
4.3,2,"ellis to rahul ,  2 runs 2 runs good and outside-off , slapped away behind point off an open face","nathan ellis to rahul , 2 runs , 136 1kph , neat stab this , opening his bat face and guiding this past a diving point"
4.2,1,"ellis to kohli ,  1 run 1 run slower ball on a hard length and moves away like a legcutter  kohli checks his shot and dabs it to deep-third","nathan ellis to kohli , 1 run , a slower good delivery  109kph  kohli waits , hangs back , and dabs it to third-man"
4.2,1,"ellis to kohli ,  1 run 1 run slower ball on a hard length and moves away like a legcutter  kohli checks his shot and dabs it to deep-third","nathan ellis to kohli , wide , angles in , and slips down leg  kohli will feel he  missed out here"
4.2,1w,"ellis to kohli , 1 wide 1 wide full and angling down the leg-side , wide called  re-set the radar , nathan","nathan ellis to kohli , 1 run , a slower good delivery  109kph  kohli waits , hangs back , and dabs it to third-man"
4.2,1w,"ellis to kohli , 1 wide 1 wide full and angling down the leg-side , wide called  re-set the radar , nathan","nathan ellis to kohli , wide , angles in , and slips down leg  kohli will feel he  missed out here"
4.1,•,"ellis to kohli , no run no run on a length and outside-off , pushed into the covers","nathan ellis to kohli , no run , length , outside-off , checked defensive push"
3.6,4,"zampa to rahul , four runs four runs tossed up on middle and breaks away , rahul decides to take this on as well  he tries to go over mid-off or cover , ends up slicing it squarer over point for four","zampa to rahul , four , streaky , but effective enough to ruin zampa  over here  a tossed up delivery , which rahul looks to go inside-out against , and ends up with the outside-edge slicing over point"
3.5,•,"zampa to rahul , no run no run rahul backs away outside leg , zampa chases him with a slider , which is flashed to cover-point","zampa to rahul , no run , makes room to try and go through the off-side infield , but drills it straight to cover"
3.4,1,"zampa to kohli ,  1 run 1 run lobbed up on the stumps , mighty full  kohli can't get under it  jammed out to mid-on","zampa to kohli , 1 run , very full again as it drifts in on middle-stump , just not letting kohli get under  squeezed into the leg-side"
3.3,•,"zampa to kohli , no run no run good and outside-off , kohli jabs it out","zampa to kohli , no run , near yorker , and kohli - despite a big bottom-handed whip - can only dig it out"
3.2,•,"zampa to kohli , no run no run shortish and outside-off , kohli goes on the back foot and punches it more or less straight to point","zampa to kohli , no run , flat , tight , on the stumps  a cramped punch off the back foot to cover"
3.1,•,"zampa to kohli , no run no run sliding into the pads as kohli does not meet with a flick","zampa to kohli , no run , leans forward to try and get a feel of the ball , but the ball slides on , going past the flick"
2.6,•,"hazlewood to rahul , no run no run shorter and swerves away outside-off with some extra bounce  rahul stabs away from the body and gets away with it as the ball misses the outside-edge","hazlewood to rahul , no run , a bit of a kick up off the deck , whizzing just over rahul  loose stab away from his body"
2.5,4,"hazlewood to rahul , four runs four runs full and nips away outside-off , rahul eyes up the leg-side and gets a leading edge that flies past the keeper  zampa at deep-third fumbles and gives up four  lax work in the deep","hazlewood to rahul , four , now , now  a rare aussie misfield , and zampa  the culprit , after the ball goes down to him at third-man off rahul  leading-edge , only to mess up"
2.4,W,"hazlewood to rohit sharma , out out ellis runs in from deep-square-leg and grabs a terrific , low catch  fuller and on off stump , rohit aims to pick it up and send it over the leg-side  skews it in the air  ellis covers a lot of ground , attacks the ball , and takes it see all photos","hazlewood to rohit , out caught by nathan ellis   a little too casually flicked this  rohit doesn't commit fully , as he looks to whip this good length delivery on outside-off uppishly over deep-mid-wicket  and thus , he ends up with a toe-end , getting dragged and dying in front of deep-square-leg , where ellis does really well to run in , slide under the ball , and keep his fingers under  rohit c nathan ellis b hazlewood 11 9  [4s-1 6s-1]"
2.3,1,"hazlewood to rahul ,  1 run 1 run shortish and leg-stump , rahul flicks it out to deep midwicket for one","hazlewood to rahul , 1 run , 140 1kph , sliding into the legs , quietly flicked to deep-mid-wicket"
